job_link,job_title,job_title_normalized,role_category,company,job_location,state,first_seen,job_level,job_type,is_likely_repost
https://www.linkedin.com/jobs/view/business-systems-analyst-sme-need-local-candidates-at-alrek-business-solutions-inc-3770657572,Business Systems Analyst/SME- NEED LOCAL CANDIDATES,business system analyst/sme- need local candidates,Business Analysis,Alrek Business Solutions Inc,"Boise, ID",ID,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-zortech-solutions-3793686849,Business Analyst,business analyst,Business Analysis,Zortech Solutions,"New Castle, DE",DE,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-accroid-inc-3755531898,Business Analyst,business analyst,Business Analysis,Accroid Inc,"Charlotte, NC",NC,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-squad-techlab-3790152580,Business Analyst,business analyst,Business Analysis,SQUAD Techlab,"Albany, NY",NY,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/lead-business-analyst-at-sygna-solutions-3787898732,Lead Business Analyst,lead business analyst,Business Analysis,Sygna Solutions,"New Jersey, United States",NJ,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-camden-nj-at-xcutives-inc-3724299273,Business Analyst at Camden NJ,business analyst at camden nj,Business Analysis,XCUTIVES Inc.,"Camden, NJ",NJ,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/w2-job-opportunity-sr-business-analyst-at-donato-technologies-inc-3783926452,W2 - Job Opportunity - Sr. Business Analyst,w2 - job opportunity - senior business analyst,Business Analysis,"Donato Technologies, Inc.","Albany, NY",NY,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-software-technology-inc-3793662002,Business Analyst,business analyst,Business Analysis,Software Technology Inc.,"Georgia, United States",GA,2024-01-13,Mid senior,Onsite,True
https://www.linkedin.com/jobs/view/it-business-analyst-production-support-at-ruan-transportation-management-systems-3772217699,IT Business Analyst - Production Support,it business analyst - production support,Business Analysis,Ruan Transportation Management Systems,"Des Moines, IA",IA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-system-analyst-at-intellectt-inc-3793663755,Business System Analyst,business system analyst,Business Analysis,Intellectt Inc,"Des Plaines, IL",IL,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/financial-analyst-at-latitude-inc-3787731397,Financial Analyst,financial analyst,Finance / Accounting / Tax,Latitude Inc,"Stafford, VA",VA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/analyst-fashion-erp-software-at-tivella-3746775674,Analyst (Fashion ERP Software),analyst (fashion erp software),Analyst (other),Tivella,"Michigan, United States",MI,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/jde-business-analyst-aerospace-at-trelleborg-group-3723380114,JDE Business Analyst - Aerospace,jde business analyst - aerospace,Business Analysis,Trelleborg Group,"Louisville, KY",KY,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/sap-ibp-functional-analyst-at-magee-resource-group-3790350552,SAP IBP Functional Analyst,sap ibp functional analyst,Analyst (other),Magee Resource Group,"Tennessee, United States",TN,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/sap-business-analyst%E2%80%93-materials-management-mm-at-psrtek-3793672447,SAP Business Analyst– Materials management (MM),sap business analyst– materials management (mm),Business Analysis,PSRTEK,"Columbia, MS",MS,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-mbo-partners-3798151014,Business Analyst,business analyst,Business Analysis,MBO Partners,"Milwaukee, WI",WI,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-technical-analyst-at-a2zxperts-3699465790,Business Technical Analyst,business technical analyst,Analyst (other),A2Zxperts,"Lawrenceville, GA",GA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-consultnet-3762476165,Business Analyst,business analyst,Business Analysis,ConsultNet,"Salt Lake City, UT",UT,2024-01-13,Mid senior,Onsite,True
https://www.linkedin.com/jobs/view/business-analyst-5%C2%A0-hybrid%C2%A0-lansing-mi-need-local-at-megan-soft-inc-3728857106,"Business Analyst 5  Hybrid ,  Lansing, MI (Need local)",business analyst 5 hybrid lansing mi (need local),Business Analysis,Megan Soft Inc,"Lansing, MI",MI,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-need-local-candidates-at-alrek-business-solutions-inc-3746863517,Business Analyst - (Need local candidates),business analyst - (need local candidates),Business Analysis,Alrek Business Solutions Inc,"Mississippi, United States",MS,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/salesforce-business-system-analyst-at-capgemini-3786755557,Salesforce Business System Analyst,salesforce business system analyst,Business Analysis,Capgemini,"New Jersey, United States",NJ,2024-01-13,Mid senior,Onsite,False
